x y label
150.37269 264.29075 main
104.51157 262.52792 main
128.7527 258.64736 main
175.67038 257.96085 main
159.53997 256.90252 main
137.92492 256.17686 main
116.75826 256.17786 main
149.18206 254.31307 main
81.480474 253.35951 main
95.591583 251.94452 main
171.43846 248.06926 main
139.62849 246.55761 main
157.64873 245.845 main
100.21862 245.94589 main
115.99237 243.38261 main
68.427344 241.71926 main
79.363814 239.24452 main
126.98881 238.53791 main
97.749173 230.42402 main
57.944904 228.66119 main
74.172684 225.13835 main
58.239124 220.66785 a
42.070044 218.43064 main
65.270164 215.96648 a
81.478714 212.80524 main
50.323854 214.18602 a
69.798956 210.90317 a
58.806034 208.0819 a
28.210994 202.91371 main
52.552704 202.57469 a
60.060514 200.97169 a
66.896759 199.82522 a
39.600604 199.73836 main
47.008934 190.57883 main
62.883794 186.32786 main
30.075604 183.86371 main
20.065534 182.34676 main
32.795734 173.28038 main
51.947684 170.81093 main
41.013094 167.63064 main
25.035994 165.16649 main
139.33603 155.28871 b
33.855444 154.22509 main
126.38415 152.4612 b
22.213774 151.40286 main
134.13997 149.65803 b
44.186714 147.87509 main
141.09992 145.05816 b
123.91435 143.29392 b
128.69273 138.25343 b
25.741554 137.64453 main
34.307314 136.23871 main
48.671794 134.46953 main
138.24595 131.64731 b
43.481164 129.1828 main
26.547824 127.77169 main
37.483654 122.47508 main
51.494714 121.06397 main
44.539214 112.95009 main
33.956164 103.7955 main
63.236574 103.07725 main
50.436384 100.95564 main
160.39052 98.827693 c
37.382934 97.433163 main
53.258254 90.728974 main
150.59705 88.260941 c
66.663814 88.255641 main
52.905474 80.494671 main
76.641074 78.383191 main
66.311384 74.850227 main
66.057734 63.566525 main
85.461574 61.79745 main
94.180474 56.153006 main
